us bank,[u'https://www.usbank.com/commercial-business/tax-credit-financing/senior-leadership-team.html']
general mills,[]
pnc bank,[]
us army,[]
walgreens,"[u'http://news.walgreens.com/executive-bios/', u'http://jobs.walgreens.com/careers/executive-leadership-jobs']"
deloitte consulting,"[u'http://www2.deloitte.com/ca/en/pages/about-deloitte/topics/executive-team.html', u'https://www.deloittemarketpoint.com/about-us/executive-team']"
windstream communications,[]
ge,"[u'http://www.ge.com/about-us/leadership/corporate-executives', u'http://www.ge.com/about-us/leadership/business-executives']"
suntrust bank,[]
kraft foods,[]
walt disney world,"[u'http://thewaltdisneycompany.com/about-disney/leadership/management', u'http://aboutdisneyparks.com/about/leadership-team']"
fedex,[]
mercer,[]
staples,[u'http://venturebeat.com/2014/01/30/staples-announces-changes-to-leadership-team/']
bank of america merrill lynch,[]
nordstrom,[]
adp,[u'http://www.broadridge.com/company-information/about/executive-leaders']
progressive insurance,[]
sanofi-aventis,[]
honeywell aerospace,[]
aon hewitt,"[u'http://www.aon.com/hongkong/about-aon/company-overview/management-team.jsp', u'http://ars-us.aon.com/en/Chicago/About-Us/Team/']"
honeywell,"[u'http://honeywell.com/About/HoneywellLeadership/Pages/honeywell-leadership.aspx', u'http://www.honeywellnow.com/2010/03/22/honeywell-names-dr-krishna-mikkilineni-and-bask-iyer-to-executive-management-team/']"
citigroup,"[u'http://www.citigroup.com/citi/about/our_leaders.html', u'http://www.banktech.com/management-strategies/citigroup-ceo-names-new-executive-team/d/d-id/1296058']"
netapp,[]
northrop grumman,[]
quest diagnostics,[]
government,"[u'http://www.sms.com/about-us/leadership-management-team', u'http://winvale.com/about/executive-team/', u'http://www.localgov.gov.tt/en/About%20the%20Ministry/Executive%20Team.aspx']"
dell,[]
siemens,[u'http://finance.siemens.com/financialservices/cn/en/about_us/executive_team/pages/executive_team.aspx']
amazon,"[u'http://allthingsd.com/20130206/amazons-executive-team-is-shrinking/', u'http://www.thepassivevoice.com/02/2013/amazons-executive-team-is-shrinking/']"
starbucks,[u'http://www.bevnet.com/news/2014/starbucks-shuffles-executive-team-ceo-schultz-to-focus-on-digital-mobile/']
bbva compass,[]
macy's,[]
target,"[u'http://www.glassdoor.com/Salary/Target-Executive-Team-Leader-Salaries-E194_D_KO7,28.htm', u'http://www.careerbliss.com/target/reviews/executive-team-leader/', u'http://www.glassdoor.com/Interview/Target-Executive-Team-Leader-Interview-Questions-EI_IE194.0,6_KO7,28.htm', u'http://www.careerbliss.com/target/salaries/executive-team-leader/', u'http://www.salarylist.com/company/Target/Executive-Team-Leader-Salary.htm']"
southwest airlines,[]
mary kay cosmetics,"[u'http://www.marykay.com/en-US/about-mary-kay/companyfounder/pages/executive-bios.aspx', u'http://www.marykay.com/en-US/about-mary-kay/pages/executive-bios.aspx']"
motorola,"[u'http://www.motorola.com/us/Motorola-Executive-Team/Motorola-Executive-Team.html', u'http://www.motorola.com/us/About-Motorola/Corporate-About-Motorola.html']"
intel,[u'http://www.crn.com/news/components-peripherals/232500230/intel-restructures-executive-team-names-new-coo.htm']
emc,"[u'http://www.emc.com/corporate/emc-at-glance/exec-team/business-executives.htm', u'http://israel.emc.com/corporate/coe/about/leadership.htm']"
the boeing company,[]
mary kay inc.,"[u'http://www.marykay.com/en-US/about-mary-kay/companyfounder/pages/executive-bios.aspx', u'http://www.marykay.com/en-US/about-mary-kay/pages/executive-bios.aspx']"
cleveland clinic,[u'http://my.clevelandclinic.org/about-cleveland-clinic/overview/leadership/executive']
tata consultancy services,[]
safeway,[]
us airways,[u'http://aviationblog.dallasnews.com/2013/06/parkers-aa-executive-team-will-have-five-from-us-airways-three-from-american-airlines.html/']
hp enterprise services,"[u'http://www8.hp.com/us/en/hp-information/executive-team/team.html', u'http://ssl.www8.hp.com/us/en/company-information/executive-team/ceo-index.html', u'http://www.crn.com/news/channel-programs/240160277/hps-whitman-shakes-up-executive-team-to-drive-sales-growth.htm']"
ups,"[u'http://www.ups.com/content/us/en/about/executive/index.html?WT.svl=SubNav', u'http://pressroom.ups.com/About+UPS/UPS+Leadership/Leaders']"
google,"[u'http://qz.com/63143/google-builds-an-x-team-of-tech-executives-but-for-what/', u'http://www.gv.com/team/']"
cisco,"[u'http://www.cisco.com/web/CA/about/executive/index.html', u'http://www.cisco.com/web/IN/about/executive_profiles.html', u'http://www.eweek.com/c/a/Enterprise-Networking/Cisco-Streamlines-Executive-Management-Team-882992']"
"wachovia, a wells fargo company","[u'https://www.wellsfargo.com/about/corporate/executive_officers/', u'https://www.wellsfargo.com/about/corporate/executive_officers/carroll']"
coca-cola refreshments,[]
state of california,"[u'http://rnr-construction.com/about/', u'http://www.armfielddesign.com/about/']"
lowe's home improvement,[u'http://www.4-traders.com/LOWES-COMPANIES-INC-13416/news/Lowes-Companies-Inc--Lowes-Aligns-Leadership-Team-to-Create-and-Deliver-Seamless-Home-Improveme-14317721/']
schlumberger,[]
hcl technologies,"[u'http://www.hclinfosystems.com/about-us/executive-team', u'http://www.hcltech.com/about-us/leadership/executive-profiles']"
rockwell automation,[u'http://www.rockwellautomation.com/about-us/executives/overview.page']
glaxosmithkline,"[u'http://www.gsk.com/en-gb/about-us/corporate-executive-team/', u'http://us.gsk.com/en-us/about-us/corporate-executive-team/', u'http://www.gsk.com/en-gb/about-us/corporate-executive-team/sir-andrew-witty/', u'http://us.gsk.com/en-us/about-us/corporate-executive-team/emma-walmsley/']"
raytheon,[u'http://www.xerox.com/about-xerox/executive-leadership/corporate-officers/enus.html']
jpmorgan chase,[u'http://www.jpmorganchase.com/corporate/About-JPMC/corporate-leadership.htm']
carolinas healthcare system,[]
home,"[u'https://www.ecolonial.com/home/executive-team/', u'https://www.peppergroup.com.au/about-us/Management/executive-team.html', u'http://www.bionucleonics.com/executive-team/']"
boston scientific,"[u'http://www.bostonscientific.com/en-US/about-us/executive-committee.html', u'http://www.bostonheartdiagnostics.com/about_team_executive.php']"
general motors,[u'http://www.4-traders.com/GENERAL-MOTORS-COMPANY-6873535/news/General-Motors-Company--GM-Sets-Pay-for-Executive-Team-Update-17822278/']
siemens healthcare,"[u'http://medical.toshiba.com/about/executive-team/', u'http://www.siemensgovt.com/ab_executive_team.html']"
humana,[]
us air force,[]
nationwide insurance,[u'http://www.nationwide.com/about-us/executive-biographies.jsp']
starbucks coffee company,[]
hewlett-packard,"[u'http://www8.hp.com/us/en/hp-information/executive-team/team.html', u'https://ssl.www8.hp.com/us/en/company-information/executive-team/ceo-index.html', u'http://www.crn.com/news/channel-programs/240160277/hps-whitman-shakes-up-executive-team-to-drive-sales-growth.htm']"
charles schwab,[]
jacobs engineering,[]
hca,"[u'http://www.hcahospitals.co.uk/about-hca/management-team/', u'http://careersathca.com/executives/']"
aramark,[u'http://www.aramark.ie/our-people/executive-team/']
